time,avg_polarity,direction,delta
2025-12-19 13:00,4.0,down_to_up,1.0
2025-12-19 14:00,2.67,up_to_down,-0.86
2025-12-19 15:00,2.75,down_to_up,0.277
2025-12-19 16:00,2.36,up_to_down,-0.63
2025-12-19 19:00,3.17,down_to_up,0.52
2025-12-20 01:00,3.0,up_to_down,-0.277
2025-12-20 07:00,5.0,down_to_up,0.333
2025-12-20 08:00,3.0,up_to_down,-0.333
2025-12-20 09:00,2.6,down_to_up,-0.467
2025-12-20 11:00,3.0,down_to_up,0.443
2025-12-20 12:00,3.57,down_to_up,0.323
2025-12-20 13:00,3.0,up_to_down,-0.547
2025-12-20 14:00,3.33,down_to_up,0.333
2025-12-20 15:00,3.5,up_to_down,-0.133
2025-12-20 19:00,4.0,down_to_up,0.277
2025-12-20 22:00,2.0,up_to_down,-0.723
2025-12-21 00:00,4.0,down_to_up,0.277
2025-12-21 09:00,2.0,up_to_down,-0.11
2025-12-21 10:00,3.0,down_to_up,-0.167
2025-12-21 12:00,2.75,down_to_up,0.917
2025-12-21 15:00,1.83,up_to_down,-0.64
2025-12-21 19:00,4.0,down_to_up,0.947
2025-12-21 21:00,2.0,up_to_down,-1.057
2025-12-22 00:00,3.5,down_to_up,1.0
2025-12-22 01:00,2.0,up_to_down,-0.5
2025-12-22 08:00,2.0,down_to_up,-0.167
2025-12-22 10:00,3.0,down_to_up,0.5
2025-12-22 13:00,3.0,up_to_down,-0.5
2025-12-22 16:00,4.0,down_to_up,0.167
2025-12-22 19:00,3.0,up_to_down,-0.5
2025-12-22 20:00,4.5,down_to_up,0.167
2025-12-22 22:00,3.5,up_to_down,-0.5
2025-12-23 00:00,4.0,down_to_up,0.667
2025-12-23 01:00,1.0,up_to_down,-1.5
2025-12-23 09:00,3.0,down_to_up,1.333
2025-12-23 16:00,2.0,up_to_down,-0.333
2025-12-23 19:00,4.0,down_to_up,0.667
2025-12-23 20:00,3.0,down_to_up,0.333
2025-12-23 22:00,3.5,up_to_down,-0.5
2025-12-24 01:00,5.0,down_to_up,0.833
2025-12-24 08:00,2.0,up_to_down,-1.0
2025-12-24 13:00,2.0,down_to_up,0.667
2025-12-24 14:00,3.0,down_to_up,0.333
2025-12-24 16:00,2.0,up_to_down,-0.667
2025-12-24 17:00,2.5,down_to_up,0.5
2025-12-24 19:00,3.0,up_to_down,-0.167
2025-12-24 20:00,4.0,down_to_up,0.667
2025-12-24 21:00,2.0,up_to_down,-0.833
2025-12-24 23:00,3.5,down_to_up,0.333
2025-12-25 00:00,2.0,up_to_down,-0.833
2025-12-25 02:00,2.0,down_to_up,0.667
2025-12-25 08:00,4.0,down_to_up,0.167
2025-12-25 12:00,3.0,up_to_down,-0.417
2025-12-25 15:00,4.0,down_to_up,0.417
2025-12-25 19:00,4.0,up_to_down,-0.417
2025-12-25 20:00,3.33,down_to_up,-0.223
2025-12-25 21:00,3.5,down_to_up,0.307
2025-12-25 22:00,3.0,up_to_down,-0.417
2025-12-26 07:00,4.0,down_to_up,0.833
2025-12-26 08:00,2.0,up_to_down,-0.333
2025-12-26 10:00,2.33,down_to_up,0.11
2025-12-26 11:00,4.0,up_to_down,-0.11
2025-12-26 12:00,4.0,down_to_up,0.667
2025-12-26 14:00,4.0,up_to_down,-0.557
2025-12-26 17:00,2.8,down_to_up,-0.4
2025-12-26 18:00,4.0,down_to_up,0.4
2025-12-26 20:00,3.33,down_to_up,0.177
2025-12-26 22:00,3.5,up_to_down,-0.333
2025-12-27 09:00,4.67,down_to_up,1.223
2025-12-27 10:00,3.0,up_to_down,-0.39
2025-12-27 12:00,4.0,down_to_up,0.667
2025-12-27 14:00,3.0,up_to_down,-1.223
2025-12-27 17:00,4.0,down_to_up,0.11
2025-12-27 18:00,2.0,down_to_up,-0.333
2025-12-27 21:00,3.0,down_to_up,0.443
2025-12-27 22:00,4.0,up_to_down,-0.11
2025-12-27 23:00,3.33,down_to_up,0.443
2025-12-28 00:00,2.0,up_to_down,-0.777
2025-12-28 01:00,4.0,down_to_up,0.333
2025-12-28 10:00,2.67,down_to_up,-0.22
2025-12-28 13:00,4.0,down_to_up,0.887
2025-12-28 14:00,2.0,up_to_down,-1.333
2025-12-28 16:00,3.0,down_to_up,0.777
2025-12-28 17:00,3.0,up_to_down,-0.443
2025-12-28 18:00,2.0,down_to_up,0.333
2025-12-28 21:00,2.0,down_to_up,-0.333
2025-12-28 22:00,2.0,down_to_up,0.333
2025-12-28 23:00,2.0,down_to_up,-0.333
2025-12-29 09:00,2.0,down_to_up,0.333
2025-12-29 10:00,1.0,down_to_up,-0.333
2025-12-29 11:00,5.0,down_to_up,1.333
2025-12-29 12:00,2.0,up_to_down,-1.0
2025-12-29 13:00,4.0,down_to_up,1.0
2025-12-29 14:00,4.0,up_to_down,-1.333
2025-12-29 15:00,4.0,down_to_up,1.0
2025-12-29 16:00,4.0,up_to_down,-0.667
2025-12-29 18:00,3.0,down_to_up,-0.333
2025-12-30 09:00,3.0,down_to_up,1.0
2025-12-30 10:00,1.0,up_to_down,-0.667
2025-12-30 11:00,3.0,down_to_up,1.0
2025-12-30 12:00,3.0,up_to_down,-0.667
2025-12-30 13:00,4.0,down_to_up,1.0
2025-12-30 20:00,4.0,up_to_down,-0.333
2025-12-30 23:00,4.67,down_to_up,0.223
2025-12-31 00:00,2.0,up_to_down,-0.89
2025-12-31 02:00,4.0,down_to_up,0.667
2025-12-31 03:00,4.5,down_to_up,-0.057
2025-12-31 07:00,4.0,down_to_up,0.723
2025-12-31 08:00,3.33,up_to_down,-0.89
2025-12-31 11:00,4.0,down_to_up,0.723
2025-12-31 12:00,4.0,up_to_down,-0.223
2025-12-31 13:00,4.0,down_to_up,0.5
2025-12-31 14:00,3.67,up_to_down,-0.61
2025-12-31 17:00,4.0,down_to_up,0.11
2025-12-31 18:00,3.5,down_to_up,-0.057
2025-12-31 21:00,4.0,down_to_up,0.5
