username,publisher,publish_time,engagement,content
上海复星公益基金会,个人用户,2025-11-28 18:36,13846,香港大埔火灾带来重大损失令人心痛，爱心艺人@吴宣仪_Betty 通过复星基金会捐赠60万人民币用于支持救援和重建工作。携手共克时艰，盼早日恢复如常。#驰援香港火灾救援# ​​​
北京日报,个人用户,2025-11-29 17:57,13766,#反中乱港分子恶意攻击救援工作#【驻港国家安全公署：坚定支持香港特区#依法严惩反中乱港分子以灾乱港#】驻港国家安全公署发言人11月29日发表谈话表示，面对香港大埔宏福苑突如其来的火灾，从中央到特区、从政府到民间、从香港到内地，众志成城，全力抗灾救灾。但就在这危难时刻，反中乱港分子和别有用心者仍蠢蠢欲动、伺机作乱。他们泯灭人性、罔顾事实，散播虚假信息，恶意攻击特区政府救援工作，挑动社会分化对立，煽动对行政长官和特区政府的怨恨。他们挟民痛、忤民意，妄图利用灾民的悲痛遂其政治野心，令香港重回“修例风波”乱局，让香港再现“黑暴”至暗时刻。其险恶用心和卑劣行径，为人神所共愤，必受道德严谴和法律严惩。 发言人指出，在中央政府和祖国内地强大支援下，香港特区政府以“当家人”、“第一责任人”的担当和勇毅，带领社会各界发扬狮子山精神，团结一致抗灾救灾、共克时艰。同时，特区政府有关部门及时澄清事实真相，揭露批驳乱港分子妖言惑众、混淆视听的邪恶图谋，调查制止别有用心者借灾生事、“以灾乱港”的不轨言行。相信广大市民定会擦亮眼睛、识别祸心，警惕一些人故伎重施，打着“为民请愿”的旗号挑动对抗撕裂社会，不受蛊惑、排除干扰，始终以团结大爱同舟共济，与特区政府一道，齐心协力做好善后工作，帮助受灾市民重回安全稳定的生活轨道。 发言人强调，驻港国家安全公署自2020年7月成立以来，坚定依法履职，时刻保持警惕、严阵以待，坚决防范、遏制、打击危害国家安全的行为和活动。随着香港国安法、《维护国家安全条例》及其附属法例等维护国家安全法律深入实施，香港已迈入国安法治新阶段。我们坚定支持香港特区毫不手软依法打击“以灾乱港”行径，坚决惩治危害国家安全的行为和活动，坚决反制任何外部势力的插手干预，坚决捍卫香港来之不易的繁荣稳定大势。我们正告妄图“以灾乱港”的反中乱港分子，无论你们变换什么手法，都一定会受到香港国安法和《维护国家安全条例》的追究严惩！（驻港国家安全公署 视频：中国新闻网）#此前失踪名单中144人确认安全# http://t.cn/AXLeCpQy
上海复星公益基金会,个人用户,2025-11-28 00:24,13726,香港大埔五级大火为当地居民带来巨大损失，十分令人痛心。@CUBE_i-dle 组合通过复星基金会捐赠100万元人民币，用于支持灾后救助和重建。愿爱传递，祈盼平安。#驰援香港火灾救援# ​​​
Support_周杰伦,个人用户,2025-11-27 21:23,13550,香港大火牺牲的37岁消防员，下个月就要结婚了，图二是消防员女朋友发的动态，看得让人落泪[淚] ​​​
南归孤夷,个人用户,2025-11-29 17:34,12818,这是中国香港博主对竹棚的看法，他认为发生火灾其实跟竹棚没什么关系，真正问题是那些易燃的棚网和发泡胶，政府说竹棚危险要淘汰，知不知道竹棚连原子弹都承受的住#开展高层建筑火灾隐患排查##香港大火老人生前最后一刻手握身份证##热点现场# http://t.cn/AXLeVZ13 ​​​
泰拳刚猛,个人用户,2025-11-27 10:19,12050,很多人可能不知道1996年香港嘉利大厦火灾，电梯维修工进行切焊时掉落的火星点燃了电梯天井里积存的垃圾，大火沿着电梯天井快速燃烧，最终41死80伤。我一直记得这事是因为我一个大哥当时就在嘉利大厦拜访客户。他们正在喝茶，外面有人叫走水，一开门已经满走廊浓烟。想从安全通道走但根本过不去。 他们退回到屋内，把房门堵上，打开窗户求助，但消防队的云梯根本升不上那么高。后来他觉得不能等，就从窗户爬出去，沿着窗外放置冷气机的架子爬下一层，办公室里的其他人也有跟着他爬下来的。 他说往下爬了一层（还是几层我记不清了），发现下面楼层没有烟，就用手抓着铁架荡起来拼命踹玻璃，踹破后一进去直接吓到腿软，因为那间屋子好像是什么胶片公司还是电影公司，满屋子挂的都是洗好的胶片。那东西一个火星就着。好在一帮人连滚带爬跑到走廊上发现没什么火，然后沿着楼梯跑了10几层才到楼下。 跟着他爬出来的人都活了，但是其他不敢爬出来的人最后都没了。水火无情，为香港受灾民众祈福，老天保佑！
中事,个人用户,2025-11-30 16:59,11203,这是一位在香港的网友发布的视频，她称作为一个港漂，我可太懂那些为竹架发声的港人了 本视频仅针对一些hk二极管群体，没想到都2025年了还需要讨论竹架vs金属架哪个更安全，也是很魔幻。 #中时[超话]##热点观点##香港大火# #香港火灾已致146人遇难# http://t.cn/AXyPhcBg ​​​
九派新闻,个人用户,2025-11-27 15:44,10779,#香港大火71岁阿伯现场寻家人#【#香港火灾5岁女孩失踪市民发声#：希望多些人留意，帮忙寻找】11月26日下午，香港大埔宏福苑发生火灾。11月27日，香港市民陈女士告诉记者，火灾现场有一名5岁女孩失踪，当时她爸爸妈妈知道火警之后了解到一名工人带着小朋友离开了住所，但是跟工人失去了联络，不知道工人和小朋友是否还在大厦里面，还是已经离开了大厦，到目前为止仍未找到，“希望多些人留意，帮忙寻找”。#香港火灾现场5岁女孩失踪#（中国新闻网）@九派新闻 http://t.cn/AXLHMjkA
小雨迷人不眨眼,个人用户,2025-12-16 15:41,10711,看了一个对香港大火幸存者李先生的采访，心情真的很复杂。这个人几乎是全楼最幸运的，他们家本来住宏福苑的高层，这两年刚刚搬到二层，逃过了火势最汹涌的楼层。而且因为大楼的管理问题，每家窗上都有一个很危险的易燃发泡胶，他们家是最早拆除的那一批，因为部分施工完成了，没有那个高温发泡胶，他恰巧躲过一劫。在这个过程中，他老婆孩子也都不在家，一个人在家。这个人也很勇敢善良，还搭救了两个五十岁的邻居，哪怕两个人他都不认识，他听到人在楼道里呼救，冒着浓烟捂住口鼻冲出门，把他们带回自己家了，最后云梯从窗户来了，他也是让两个陌生的邻居先走，自己留在后面，最后居然三个人都获救了。 但我印象最深的是，他说他从着火开始，一直盼着被接走，被发现和救援，但是真的要走了，云梯来接他了，他“那一刻又不想走”，因为宏福苑他已经住了一辈子了。他说小时候爸妈上班没有饭吃，都会去敲邻居的家门讨要零食，邻居们都很爱他，过年还会给他发红包。（现在那些住高层的邻居们全都“失联”了。不是活不是死，是报道“失联”）他当时站在被火灾吞噬的房间里就特别舍不得走。选择要从火灾里带走什么的时候，就想每个家庭成员最珍惜的是什么，他拿了孩子的ipad，自己的护照，妻子的手表，但是满墙的chiikawa都带不走了。他说“澳門有個特別版出了，我又特意去澳門買， 特意飛去上海的旗艦店。但這些，全部都帶不走了。”他还说“火跟你說，你不能拿走它，你沒有資格、沒有能力去阻止我吞噬它，而你是沒有任何反駁的機會，那一刻，我就站在這裏想這個問題。”他说他出来以后报完平安，第一件事就是转头给这个烧掉的家照相，算是一种道别。而且获救后，一直没有情绪，出奇冷静，直到第二天早上吃粥的时候开始“很冷静地流泪”。玩具都没有带出来，住了四十几年的家没了，几乎过去的邻居都“失联”了，但他还开玩笑说，女儿最喜欢的玩偶是宜家小狗，虽然没有拿出来，幸亏宜家的东西比较便宜，还可以支付得起再买。但笑着笑着又说他不在意吃的穿的玩的，但他真的很想要一个答案，为什么会有火。他每天都在想那些过去的邻居。 好难过，已经是火灾里最幸运也最勇敢的人，自己幸存下来，家人安然无恙，甚至还搭救了两个人，但是仍然失去了无法挽回和弥补的一切，而这居然已经是灾难里攒够了所有运气的最好的结局了。[苦涩] （图四是他刚刚出来时，用自己手机拍的燃烧的家）
看看新闻Knews,个人用户,2025-11-26 20:26,9519,#香港大埔火灾死亡人数升至13人#【数栋大楼一片火海！宏福苑出逃居民：一栋栋连续烧】#香港大埔火灾逃生居民发声#11月26日，香港大埔宏福苑爆发五级火情，大火经外墙棚架蔓延。入夜后，火情仍未得到控制。 有宏福苑的住户在接受采访时表示，火势蔓延得非常迅速，看着火一路烧过来，一栋栋连续烧烧到爆炸。有住户表示曾看到大楼维修人员在抽烟，但没看到他如何处理烟头。 http://t.cn/AXLlifoQ
